image_name,image_path,record_type,successful,predicted_class_id,predicted_letter,true_class_id,true_letter,confidence,iou
CLA200_A_1.JPG,I:\YOLO Train W1\database_structure_final\images\val\CLA200_A_1.JPG,false_negative,False,,,0.0,A,,0.0
CLA200_E_02.JPG,I:\YOLO Train W1\database_structure_final\images\val\CLA200_E_02.JPG,false_negative,False,,,4.0,E,,0.0
CLA200_J_01.JPG,I:\YOLO Train W1\database_structure_final\images\val\CLA200_J_01.JPG,false_negative,False,,,9.0,J,,0.0
CLA200_R_01.JPG,I:\YOLO Train W1\database_structure_final\images\val\CLA200_R_01.JPG,false_negative,False,,,17.0,R,,0.0
CLA200_R_02.JPG,I:\YOLO Train W1\database_structure_final\images\val\CLA200_R_02.JPG,false_negative,False,,,17.0,R,,0.0
CLA200_X_01.JPG,I:\YOLO Train W1\database_structure_final\images\val\CLA200_X_01.JPG,false_negative,False,,,23.0,X,,0.0
CLA200_X_02.JPG,I:\YOLO Train W1\database_structure_final\images\val\CLA200_X_02.JPG,false_negative,False,,,23.0,X,,0.0
CLA200_Z_02.JPG,I:\YOLO Train W1\database_structure_final\images\val\CLA200_Z_02.JPG,false_negative,False,,,25.0,Z,,0.0
Henry_D_01.png,I:\YOLO Train W1\database_structure_final\images\val\Henry_D_01.png,false_negative,False,,,3.0,D,,0.0
Henry_F_01.png,I:\YOLO Train W1\database_structure_final\images\val\Henry_F_01.png,false_negative,False,,,5.0,F,,0.0
Henry_I_01.png,I:\YOLO Train W1\database_structure_final\images\val\Henry_I_01.png,false_negative,False,,,8.0,I,,0.0
Henry_I_02.png,I:\YOLO Train W1\database_structure_final\images\val\Henry_I_02.png,false_negative,False,,,8.0,I,,0.0
Henry_K_02.png,I:\YOLO Train W1\database_structure_final\images\val\Henry_K_02.png,false_negative,False,,,10.0,K,,0.0
Henry_L_01.png,I:\YOLO Train W1\database_structure_final\images\val\Henry_L_01.png,false_negative,False,,,11.0,L,,0.0
Henry_M_01.png,I:\YOLO Train W1\database_structure_final\images\val\Henry_M_01.png,false_negative,False,,,12.0,M,,0.0
Henry_P_01.png,I:\YOLO Train W1\database_structure_final\images\val\Henry_P_01.png,false_negative,False,,,15.0,P,,0.0
Henry_P_02.png,I:\YOLO Train W1\database_structure_final\images\val\Henry_P_02.png,false_negative,False,,,15.0,P,,0.0
Henry_R_02.png,I:\YOLO Train W1\database_structure_final\images\val\Henry_R_02.png,false_negative,False,,,17.0,R,,0.0
Henry_S_02.png,I:\YOLO Train W1\database_structure_final\images\val\Henry_S_02.png,false_negative,False,,,18.0,S,,0.0
Henry_U_01.png,I:\YOLO Train W1\database_structure_final\images\val\Henry_U_01.png,false_negative,False,,,20.0,U,,0.0
Henry_V_01.png,I:\YOLO Train W1\database_structure_final\images\val\Henry_V_01.png,false_negative,False,,,21.0,V,,0.0
Henry_Z_01.png,I:\YOLO Train W1\database_structure_final\images\val\Henry_Z_01.png,false_negative,False,,,25.0,Z,,0.0
Henry_Z_02.png,I:\YOLO Train W1\database_structure_final\images\val\Henry_Z_02.png,false_negative,False,,,25.0,Z,,0.0
Kenten_J_2.jpeg,I:\YOLO Train W1\database_structure_final\images\val\Kenten_J_2.jpeg,false_negative,False,,,9.0,J,,0.0
Kenten_M_1.jpg,I:\YOLO Train W1\database_structure_final\images\val\Kenten_M_1.jpg,false_negative,False,,,12.0,M,,0.0
Kenten_S_2.jpeg,I:\YOLO Train W1\database_structure_final\images\val\Kenten_S_2.jpeg,false_negative,False,,,18.0,S,,0.0
